target_team,send,receive,you_picks,you_faab,they_picks,they_faab,my_gain,their_gain,mutual_gain,fit_user,fit_target,fit_balance,fit_score,notes
Kupp your balls and Goff (fishy1021),Bucky Irving + Omarion Hampton,Kyren Williams + Cam Skattebo,,0,,0,0.54,-0.54,0,5.724,5.558,5.558,22.564,players (2v2)
Kupp your balls and Goff (fishy1021),Bucky Irving + Omarion Hampton,Kyren Williams + Cam Skattebo,,0,,0,0.54,-0.54,0,5.724,5.558,5.558,22.564,sweetened
Kupp your balls and Goff (fishy1021),Bucky Irving + Omarion Hampton,Kyren Williams + Cam Skattebo,,0,,0,0.54,-0.54,0,5.724,5.558,5.558,22.564,sweetened
Kupp your balls and Goff (fishy1021),Bucky Irving + Omarion Hampton,Kyren Williams + Cam Skattebo,,0,,0,0.54,-0.54,0,5.724,5.558,5.558,22.564,sweetened
Kupp your balls and Goff (fishy1021),Bucky Irving,Kyren Williams + Cam Skattebo,,0,,0,4.299,-4.299,0,5.724,3.863,3.863,19.174,players (1v2)
Kupp your balls and Goff (fishy1021),Bucky Irving,Kyren Williams + Cam Skattebo,,0,,0,4.299,-4.299,0,5.724,3.863,3.863,19.174,sweetened
Kupp your balls and Goff (fishy1021),Bucky Irving,Kyren Williams + Cam Skattebo,,0,,0,4.299,-4.299,0,5.724,3.863,3.863,19.174,sweetened
Kupp your balls and Goff (fishy1021),Bucky Irving,Kyren Williams + Cam Skattebo,,0,,0,4.299,-4.299,0,5.724,3.863,3.863,19.174,sweetened
abdominalmyths (abdominalmyths),Jordan Addison,De'Von Achane + Ashton Jeanty,,0,,0,10.069,-10.069,0,3.848,6.32,3.848,20.336,players (1v2)
abdominalmyths (abdominalmyths),Jordan Addison,De'Von Achane + Ashton Jeanty,,0,,0,10.069,-10.069,0,3.848,6.32,3.848,20.336,sweetened
abdominalmyths (abdominalmyths),Jordan Addison,De'Von Achane + Ashton Jeanty,,0,,0,10.069,-10.069,0,3.848,6.32,3.848,20.336,sweetened
abdominalmyths (abdominalmyths),Jordan Addison,De'Von Achane + Ashton Jeanty,,0,,0,10.069,-10.069,0,3.848,6.32,3.848,20.336,sweetened
