team,owner_id,2025 R1,2025 R2,2025 R3,2025 R4,2026 R1,2026 R2,2026 R3,2026 R4,total_picks
By the power of FIG (bensonSC88),1260815326304542721,1,1,1,1,1,1,1,1,8
Commissioner Zordon (stuswood),993982154768007168,1,1,1,1,1,0,2,1,8
KhanorRyelee (KhanorRyelee),1260986044254257152,1,1,1,1,1,1,1,1,8
Kupp your balls and Goff (fishy1021),1261425942933282817,1,1,1,1,1,1,1,1,8
MajorKB (MajorKB),1260813471117737984,1,1,1,1,1,1,1,1,8
Ray Farmer (btwice5928173737282),1261312500423462912,1,1,1,1,1,1,1,1,8
TDs for my Chubb (MMilano),990102282207285248,1,1,1,1,1,1,1,1,8
WarriorMonk25 (WarriorMonk25),1261000835349893120,1,1,1,1,1,1,1,1,8
YarisAuto (YarisAuto),1261146710789345280,1,1,1,1,1,1,1,1,8
abdominalmyths (abdominalmyths),1260458803397132288,1,1,1,1,1,2,0,1,8
